,region,sub_region,location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
54,Asia,Southern Asia,Afghanistan,2020-02-23,0,0,38928341.0,2.581,1803.987,0.5
55,Asia,Southern Asia,Afghanistan,2020-02-24,0,0,38928341.0,2.581,1803.987,0.5
56,Asia,Southern Asia,Afghanistan,2020-02-25,1,0,38928341.0,2.581,1803.987,0.5
57,Asia,Southern Asia,Afghanistan,2020-02-26,0,0,38928341.0,2.581,1803.987,0.5
58,Asia,Southern Asia,Afghanistan,2020-02-27,0,0,38928341.0,2.581,1803.987,0.5
59,Asia,Southern Asia,Afghanistan,2020-02-28,0,0,38928341.0,2.581,1803.987,0.5
60,Asia,Southern Asia,Afghanistan,2020-02-29,0,0,38928341.0,2.581,1803.987,0.5
61,Asia,Southern Asia,Afghanistan,2020-03-01,0,0,38928341.0,2.581,1803.987,0.5
62,Asia,Southern Asia,Afghanistan,2020-03-02,0,0,38928341.0,2.581,1803.987,0.5
63,Asia,Southern Asia,Afghanistan,2020-03-08,3,0,38928341.0,2.581,1803.987,0.5
64,Asia,Southern Asia,Afghanistan,2020-03-11,3,0,38928341.0,2.581,1803.987,0.5
65,Asia,Southern Asia,Afghanistan,2020-03-15,3,0,38928341.0,2.581,1803.987,0.5
66,Asia,Southern Asia,Afghanistan,2020-03-16,6,0,38928341.0,2.581,1803.987,0.5
67,Asia,Southern Asia,Afghanistan,2020-03-17,5,0,38928341.0,2.581,1803.987,0.5
68,Asia,Southern Asia,Afghanistan,2020-03-18,1,0,38928341.0,2.581,1803.987,0.5
69,Asia,Southern Asia,Afghanistan,2020-03-19,0,0,38928341.0,2.581,1803.987,0.5
70,Asia,Southern Asia,Afghanistan,2020-03-20,0,0,38928341.0,2.581,1803.987,0.5
71,Asia,Southern Asia,Afghanistan,2020-03-21,2,0,38928341.0,2.581,1803.987,0.5
72,Asia,Southern Asia,Afghanistan,2020-03-22,0,0,38928341.0,2.581,1803.987,0.5
73,Asia,Southern Asia,Afghanistan,2020-03-23,10,0,38928341.0,2.581,1803.987,0.5
74,Asia,Southern Asia,Afghanistan,2020-03-24,6,1,38928341.0,2.581,1803.987,0.5
75,Asia,Southern Asia,Afghanistan,2020-03-25,2,0,38928341.0,2.581,1803.987,0.5
76,Asia,Southern Asia,Afghanistan,2020-03-26,33,0,38928341.0,2.581,1803.987,0.5
77,Asia,Southern Asia,Afghanistan,2020-03-27,0,0,38928341.0,2.581,1803.987,0.5
78,Asia,Southern Asia,Afghanistan,2020-03-28,16,1,38928341.0,2.581,1803.987,0.5
79,Asia,Southern Asia,Afghanistan,2020-03-29,15,1,38928341.0,2.581,1803.987,0.5
80,Asia,Southern Asia,Afghanistan,2020-03-30,8,1,38928341.0,2.581,1803.987,0.5
81,Asia,Southern Asia,Afghanistan,2020-03-31,27,0,38928341.0,2.581,1803.987,0.5
82,Asia,Southern Asia,Afghanistan,2020-04-01,25,0,38928341.0,2.581,1803.987,0.5
83,Asia,Southern Asia,Afghanistan,2020-04-02,26,0,38928341.0,2.581,1803.987,0.5
84,Asia,Southern Asia,Afghanistan,2020-04-03,43,0,38928341.0,2.581,1803.987,0.5
85,Asia,Southern Asia,Afghanistan,2020-04-04,0,0,38928341.0,2.581,1803.987,0.5
86,Asia,Southern Asia,Afghanistan,2020-04-05,35,1,38928341.0,2.581,1803.987,0.5
87,Asia,Southern Asia,Afghanistan,2020-04-06,29,2,38928341.0,2.581,1803.987,0.5
88,Asia,Southern Asia,Afghanistan,2020-04-07,38,0,38928341.0,2.581,1803.987,0.5
89,Asia,Southern Asia,Afghanistan,2020-04-08,30,4,38928341.0,2.581,1803.987,0.5
90,Asia,Southern Asia,Afghanistan,2020-04-09,56,3,38928341.0,2.581,1803.987,0.5
91,Asia,Southern Asia,Afghanistan,2020-04-10,61,1,38928341.0,2.581,1803.987,0.5
92,Asia,Southern Asia,Afghanistan,2020-04-11,37,0,38928341.0,2.581,1803.987,0.5
93,Asia,Southern Asia,Afghanistan,2020-04-12,34,3,38928341.0,2.581,1803.987,0.5
94,Asia,Southern Asia,Afghanistan,2020-04-13,52,0,38928341.0,2.581,1803.987,0.5
95,Asia,Southern Asia,Afghanistan,2020-04-14,58,3,38928341.0,2.581,1803.987,0.5
96,Asia,Southern Asia,Afghanistan,2020-04-15,49,2,38928341.0,2.581,1803.987,0.5
97,Asia,Southern Asia,Afghanistan,2020-04-16,70,2,38928341.0,2.581,1803.987,0.5
98,Asia,Southern Asia,Afghanistan,2020-04-17,10,4,38928341.0,2.581,1803.987,0.5
99,Asia,Southern Asia,Afghanistan,2020-04-18,51,1,38928341.0,2.581,1803.987,0.5
100,Asia,Southern Asia,Afghanistan,2020-04-19,63,0,38928341.0,2.581,1803.987,0.5
101,Asia,Southern Asia,Afghanistan,2020-04-20,88,3,38928341.0,2.581,1803.987,0.5
102,Asia,Southern Asia,Afghanistan,2020-04-21,35,2,38928341.0,2.581,1803.987,0.5
103,Asia,Southern Asia,Afghanistan,2020-04-22,61,1,38928341.0,2.581,1803.987,0.5
104,Asia,Southern Asia,Afghanistan,2020-04-23,84,4,38928341.0,2.581,1803.987,0.5
105,Asia,Southern Asia,Afghanistan,2020-04-24,105,2,38928341.0,2.581,1803.987,0.5
106,Asia,Southern Asia,Afghanistan,2020-04-25,70,1,38928341.0,2.581,1803.987,0.5
107,Asia,Southern Asia,Afghanistan,2020-04-26,112,4,38928341.0,2.581,1803.987,0.5
108,Asia,Southern Asia,Afghanistan,2020-04-27,68,10,38928341.0,2.581,1803.987,0.5
109,Asia,Southern Asia,Afghanistan,2020-04-28,172,0,38928341.0,2.581,1803.987,0.5
110,Asia,Southern Asia,Afghanistan,2020-04-29,124,3,38928341.0,2.581,1803.987,0.5
111,Asia,Southern Asia,Afghanistan,2020-04-30,122,0,38928341.0,2.581,1803.987,0.5
112,Asia,Southern Asia,Afghanistan,2020-05-01,222,4,38928341.0,2.581,1803.987,0.5
113,Asia,Southern Asia,Afghanistan,2020-05-02,164,4,38928341.0,2.581,1803.987,0.5
114,Asia,Southern Asia,Afghanistan,2020-05-03,134,4,38928341.0,2.581,1803.987,0.5
115,Asia,Southern Asia,Afghanistan,2020-05-04,235,13,38928341.0,2.581,1803.987,0.5
116,Asia,Southern Asia,Afghanistan,2020-05-05,190,5,38928341.0,2.581,1803.987,0.5
117,Asia,Southern Asia,Afghanistan,2020-05-06,330,5,38928341.0,2.581,1803.987,0.5
118,Asia,Southern Asia,Afghanistan,2020-05-07,168,9,38928341.0,2.581,1803.987,0.5
119,Asia,Southern Asia,Afghanistan,2020-05-08,171,2,38928341.0,2.581,1803.987,0.5
120,Asia,Southern Asia,Afghanistan,2020-05-09,215,3,38928341.0,2.581,1803.987,0.5
121,Asia,Southern Asia,Afghanistan,2020-05-10,255,6,38928341.0,2.581,1803.987,0.5
122,Asia,Southern Asia,Afghanistan,2020-05-11,369,5,38928341.0,2.581,1803.987,0.5
123,Asia,Southern Asia,Afghanistan,2020-05-12,285,2,38928341.0,2.581,1803.987,0.5
124,Asia,Southern Asia,Afghanistan,2020-05-13,280,5,38928341.0,2.581,1803.987,0.5
125,Asia,Southern Asia,Afghanistan,2020-05-14,259,3,38928341.0,2.581,1803.987,0.5
126,Asia,Southern Asia,Afghanistan,2020-05-15,113,6,38928341.0,2.581,1803.987,0.5
127,Asia,Southern Asia,Afghanistan,2020-05-16,1063,32,38928341.0,2.581,1803.987,0.5
128,Asia,Southern Asia,Afghanistan,2020-05-17,0,0,38928341.0,2.581,1803.987,0.5
